Country,Tenant,Sport,City,Stadium,Capacity,Built,Seats
Algeria,National Stadium,Multi-use,Algiers,Stade 5 Juillet 1962,64000,1976,all-seater
Algeria,MC Alger,Football,Algiers,Stade 5 Juillet 1962,64000,1976,all-seater
Algeria,USM Annaba,Football,Annaba,Stade 19 Mai 1956,50000,null,all-seater
Algeria,USM Bel Abbès,Football,Sidi Bel Abbès,Stade 24 Février 1956,45000,null,null
Algeria,CS/MO Constantine,Football,Constantine,Stade Mohamed-Hamlaoui,45000,1973,all-seater
Algeria,JS Djijel,Football,Jijel,Stade Rouibah Hocine,40000,null,null
Algeria,USM Blida,Football,Blida,Stade Moustapha Tchaker,37000,null,null
Algeria,MC Saida,Football,Saida,Stade Olympique,35000,null,null
Algeria,MC Oran,Football,Oran,Stade Ahmed Zabana,32000,null,null
Algeria,JSM Tiaret,Football,Tiaret,Stade Ahmed-Kaïd,30000,null,null
Algeria,RC Relizane,Football,Relizane,Stade Tahar Zoughari,30000,null,null
Algeria,MC El Eulma,Football,El Eulma,Stade Messaoud Zougar,25000,null,null
Algeria,ES Sétif,Football,Sétif,Stade 8 Mai 1945,25000,null,null
Algeria,GC Mascara,Football,Mascara,Stade Unité Africaine,22000,null,null
Algeria,CA Batna,Football,Batna,Stade 1er Novembre,20000,1979,null
Algeria,JS Kabylie,Football,Tizi-Ouzou,Stade 1er Novembre,20000,null,null
Algeria,ASM Oran,Football,Oran,Stade Habib Bouakeul,20000,null,null
Algeria,JS Saoura,Football,Béchar,Stade 20 Août 1955,20000,null,null
Algeria,JSM Skikda,Football,Skikda,Stade 20 Août 1955,20000,null,null
Algeria,WA Tlemcen,Football,Tlemcen,Stade Akit Lotfi,18000,null,null
Algeria,MO/JSM Béjaïa,Football,Béjaïa,Stade de l'Unité Maghrébine,18000,null,null
Algeria,ASO Chlef,Football,Chlef,Stade Boumezrag Mohamed,18000,null,null
Algeria,MC/USM Alger,Football,Algiers,Stade Omar Hamadi,17500,null,null
Algeria,CR Belouizdad,Football,Algiers,Stade 20 Août 1955,15000,null,null
Algeria,CA Bordj Bou Arreridj,Football,Bordj Bou Arreridj,Stade 20 Août 1955,15000,null,all-seater
Algeria,ES Mostaganem,Football,Mostaganem,Stade Mohamed-Bensaïd,15000,null,null
Algeria,ES Guelma,Football,Guelma,Stade Souidani-Boudjemaa,15000,1986,null
Algeria,MO/CS Constantine,Football,Constantine,Stade Benabdelmalek Ramdane,13000,1948,null
Algeria,Olympique de Médéa,Football,Médéa,Stade Imam-Lyes,12000,null,null
Algeria,US Tébassa,Football,Tébassa,Stade du 4 Mars,11000,null,all-seater
Algeria,CR de Témouchent,Football,Aïn Témouchent,Stade Omar Oucief,11000,null,null
Algeria,RC Kouba,Football,Kouba,Stade Omar Benhaddad,10000,null,null
Algeria,US Biskra,Football,Biskra,Complexe Sportif d'El Alia,10000,null,null
Angola,National Stadium,Multi-use,Luanda,Estádio 11 de Novembro,50000,2009,all-seater
Angola,Atlético Petróleos,Football,Luanda,Estádio 11 de Novembro,50000,2009,all-seater
Angola,Atlético Sport Aviação,Football,Luanda,Estadio da Cidadela,40000,null,null
Angola,CD Primeiro de Agosto,Football,Luanda,Estadio da Cidadela,40000,null,null
Angola,National Stadium,Multi-use,Benguela,Estádio de Ombaka,35000,2009,all-seater
Angola,National Stadium,Multi-use,Cabinda,Estádio do Chiazi,20000,2009,all-seater
Angola,National Stadium,Multi-use,Lubango,Estádio da Tundavala,20000,2009,all-seater
Angola,Santos FC,Football,Viana,Estádio do Santos,17000,2003,null
Angola,CR Caála,Football,Huambo,Estádio dos Kuricutelas,17000,null,null
Angola,Benfica Lubango,Football,Lubango,Nossa Senhora do Monte,14000,null,null
Angola,Multi-use,Football,Luanda,Pavilhão Multiusos de Luanda,12750,2013,all-seater
Angola,Kabuscorp SC,Football,Luanda,Estádio dos Coqueiros,12000,2004,all-seater
Angola,Académica Soyo,Football,Soyo,Estádio dos Imbomdeiros,10000,null,null
Angola,CRD Libolo,Football,Calulo,Municipal de Calulo,10000,null,null
Benin,National Stadium,Multi-use,Cotonou,Stade de l'Amitié,35000,null,null
Benin,ASPAC FC,Football,Cotonou,Stade de l'Amitié,35000,null,null
Benin,AS Dragons FC,Football,Porto Novo,Stade Charles de Gaulle,25000,null,null
Benin,Mogas 90 FC,Football,Porto Novo,Stade Charles de Gaulle,25000,null,null
Benin,Requins Atlantique FC,Football,Cotonou,René Pleven d'Akpakpa,12000,null,null
Benin,Soleil FC,Football,Cotonou,René Pleven d'Akpakpa,12000,null,null
Botswana,TAFIC,Football,Francistown,Francistown Stadium,27000,2009,null
Botswana,ECCO City Green,Football,Francistown,Francistown Stadium,27000,2009,null
Botswana,Gaborone United,Football,Gaborone,National Stadium,22500,null,null
Botswana,Notwane FC,Football,Gaborone,National Stadium,22500,null,null
Botswana,Police XI,Football,Gaborone,National Stadium,22500,null,null
Botswana,Township Rollers,Football,Gaborone,National Stadium,22500,null,null
Botswana,Botswana MC FC,Football,Lobatse,Lobatse Stadium,20000,null,null
Botswana,Extension Gunners,Football,Lobatse,Lobatse Stadium,20000,null,null
Burkina Faso,National Stadium,Multi-use,Ouagadougou,Stade du 4 Août,40000,null,null
Burkina Faso,ASFA Ouagadougou,Football,Ouagadougou,Stade du 4 Août,40000,null,null
Burkina Faso,Etoile Filante,Football,Ouagadougou,Stade du 4 Août,40000,null,null
Burkina Faso,ASFB Bobo Dioulasso,Football,Bobo Dioulasso,Stade Municipal,30000,null,null
